date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2021-09-15,4903.85,4903.85,4867.32,4843.12,1879847.25,-49.84,-1.01,4951.934,4937.083,4887.083,2456650.0,2513576.03,2305118.45
2021-09-14,4989.83,5000.98,4917.16,4907.32,2455904.0,-74.5,-1.49,4972.896,4937.297,4888.429,2609911.2,2652312.38,2309863.27
2021-09-13,5006.77,5029.72,4991.66,4964.96,2499153.0,-21.86,-0.44,4988.03,4926.142,4884.441,2607087.45,2641840.63,2280854.81
2021-09-10,4967.98,5042.8,5013.52,4962.37,2883043.5,43.51,0.88,4976.444,4908.303,4881.912,2588271.35,2611561.08,2236873.85
2021-09-09,4952.49,4970.15,4970.01,4929.95,2565302.25,-2.12,-0.04,4942.352,4889.655,4878.535,2547846.45,2506566.94,2171878.84
2021-09-08,4986.8,5013.98,4972.13,4955.89,2646153.25,-20.7,-0.41,4922.232,4872.815,4878.702,2570502.05,2447654.1,2127725.59
2021-09-07,4932.98,5005.96,4992.83,4915.61,2441785.25,59.1,1.2,4901.698,4865.418,4880.862,2694713.55,2372486.79,2086550.97
2021-09-06,4841.06,4944.45,4933.73,4837.79,2405072.5,90.67,1.87,4864.254,4854.974,4883.378,2676593.8,2326191.42,2047987.66
2021-09-03,4875.07,4886.55,4843.06,4828.7,2680919.0,-26.35,-0.54,4840.162,4845.189,4885.97,2634850.8,2253263.26,2018952.47
2021-09-02,4865.82,4892.7,4869.41,4845.62,2678580.25,-0.05,-0.0,4836.958,4837.81,4889.895,2465287.42,2162807.17,1961996.36
2021-09-01,4804.69,4906.4,4869.46,4763.3,3267210.75,63.85,1.33,4823.398,4837.083,4893.858,2324806.15,2096660.87,1911758.26
2021-08-31,4803.09,4821.76,4805.61,4740.75,2351186.5,-7.66,-0.16,4829.138,4839.561,4899.327,2050260.02,1967414.17,1836130.96
2021-08-30,4847.03,4849.16,4813.27,4787.2,2196357.5,-13.77,-0.28,4845.694,4842.74,4905.77,1975789.05,1919869.0,1820338.31
2021-08-27,4794.97,4863.47,4827.04,4793.59,1833102.12,25.43,0.53,4850.216,4855.52,4911.793,1871675.72,1862186.62,1824117.9
2021-08-26,4892.2,4892.2,4801.61,4798.7,1976173.88,-96.55,-1.97,4838.662,4867.414,4911.0,1860326.92,1837190.74,1823637.68
2021-08-25,4890.52,4899.77,4898.16,4865.76,1894480.12,9.77,0.2,4850.768,4884.588,4913.433,1868515.6,1807797.09,1811490.01
2021-08-24,4844.59,4906.2,4888.39,4842.75,1978831.62,52.51,1.09,4849.984,4896.306,4906.549,1884568.32,1800615.15,1813083.2
2021-08-23,4777.73,4843.82,4835.88,4764.01,1675790.88,66.61,1.4,4839.786,4911.782,4899.695,1863948.95,1769783.89,1832457.23
2021-08-20,4817.49,4835.15,4769.27,4720.83,1776358.12,-92.87,-1.91,4860.824,4926.75,4904.166,1852697.52,1784641.68,1862723.54
2021-08-19,4886.56,4893.47,4862.14,4839.57,2017117.25,-32.1,-0.66,4896.166,4941.979,4920.164,1814054.55,1761185.55,1882174.06
